professor_id,course_id,qualified,course_pref_rank,course_pref_score,topic_score
P001,C001,1,3,3,3
P001,C002,0,,0,0
P001,C003,1,3,3,3
P001,C004,1,3,3,3
P001,C005,0,,0,0
P001,C006,0,,0,0
P001,C007,0,,0,0
P001,C008,0,,0,0
P001,C009,0,,0,0
P001,C010,0,,0,0
P001,C011,0,,0,0
P001,C012,0,,0,0
P001,C013,0,,0,0
P001,C014,0,,0,0
P001,C015,0,,0,0
P001,C016,0,,0,0
P001,C017,1,3,3,3
P001,C018,1,3,3,3
P001,C019,1,3,3,3
P001,C020,1,3,3,3
P001,C021,0,,0,0
P001,C022,0,,0,0
P001,C023,0,,0,0
P001,C024,0,,0,0
P001,C025,0,,0,0
P001,C026,0,,0,0
P001,C027,0,,0,0
P001,C028,0,,0,0
P001,C029,1,3,3,3
P001,C030,1,3,3,3
P001,C031,0,,0,0
P001,C032,0,,0,0
P001,C033,0,,0,0
P001,C034,0,,0,0
P001,C035,1,3,3,3
P001,C036,0,,0,0
P001,C037,0,,0,0
P001,C038,0,,0,0
P001,C039,1,3,3,3
P001,C040,0,,0,0
P001,C041,0,,0,0
P001,C042,0,,0,0
P001,C043,1,3,3,3
P001,C044,1,3,3,3
P001,C045,0,,0,0
P001,C046,0,,0,0
P001,C047,1,2,4,4
P001,C048,1,3,3,3
P001,C049,0,,0,0
P001,C050,0,,0,0
P001,C051,0,,0,0
P001,C052,0,,0,0
P001,C053,1,3,3,3
P001,C054,1,3,3,3
P001,C055,1,3,3,3
P001,C056,0,,0,0
P001,C057,0,,0,0
P001,C058,0,,0,0
P001,C059,0,,0,0
P002,C001,0,,0,0
P002,C002,0,,0,0
P002,C003,0,,0,0
P002,C004,0,,0,0
P002,C005,1,3,3,3
P002,C006,0,,0,0
P002,C007,0,,0,0
P002,C008,0,,0,0
P002,C009,0,,0,0
P002,C010,0,,0,0
P002,C011,0,,0,0
P002,C012,0,,0,0
P002,C013,0,,0,0
P002,C014,0,,0,0
P002,C015,0,,0,0
P002,C016,0,,0,0
P002,C017,0,,0,0
P002,C018,0,,0,0
P002,C019,0,,0,0
P002,C020,0,,0,0
P002,C021,0,,0,0
P002,C022,0,,0,0
P002,C023,1,3,3,3
P002,C024,1,3,3,3
P002,C025,1,3,3,3
P002,C026,1,3,3,3
P002,C027,1,3,3,3
P002,C028,0,,0,0
P002,C029,0,,0,0
P002,C030,0,,0,0
P002,C031,0,,0,0
P002,C032,0,,0,0
P002,C033,0,,0,0
P002,C034,0,,0,0
P002,C035,0,,0,0
P002,C036,1,3,3,3
P002,C037,0,,0,0
P002,C038,0,,0,0
P002,C039,0,,0,0
P002,C040,1,3,3,3
P002,C041,0,,0,0
P002,C042,0,,0,0
P002,C043,0,,0,0
P002,C044,0,,0,0
P002,C045,0,,0,0
P002,C046,0,,0,0
P002,C047,0,,0,0
P002,C048,0,,0,0
P002,C049,1,3,3,3
P002,C050,0,,0,0
P002,C051,0,,0,0
P002,C052,0,,0,0
P002,C053,0,,0,0
P002,C054,0,,0,0
P002,C055,0,,0,0
P002,C056,0,,0,0
P002,C057,0,,0,0
P002,C058,0,,0,0
P002,C059,0,,0,0
P003,C001,0,,0,0
P003,C002,0,,0,0
P003,C003,0,,0,0
P003,C004,0,,0,0
P003,C005,0,,0,0
P003,C006,0,,0,0
P003,C007,0,,0,0
P003,C008,0,,0,0
P003,C009,0,,0,0
P003,C010,0,,0,0
P003,C011,0,,0,0
P003,C012,0,,0,0
P003,C013,0,,0,0
P003,C014,0,,0,0
P003,C015,0,,0,0
P003,C016,0,,0,0
P003,C017,1,3,3,3
P003,C018,1,3,3,3
P003,C019,1,3,3,3
P003,C020,1,3,3,3
P003,C021,0,,0,0
P003,C022,0,,0,0
P003,C023,0,,0,0
P003,C024,0,,0,0
P003,C025,0,,0,0
P003,C026,0,,0,0
P003,C027,0,,0,0
P003,C028,0,,0,0
P003,C029,1,3,3,3
P003,C030,1,3,3,3
P003,C031,0,,0,0
P003,C032,0,,0,0
P003,C033,0,,0,0
