professor_id,course_id,timeslot_id,room_id,total_score
P001,C001,T_MWF_0830_0920,R_MGH_389,12.00
P004,C001,T_MWF_0830_0920,R_MGH_389,15.00
P008,C001,T_MWF_0830_0920,R_MGH_389,13.00
P012,C001,T_MWF_0830_0920,R_MGH_389,11.00
P017,C001,T_MWF_0830_0920,R_MGH_389,11.00
P019,C001,T_MWF_0830_0920,R_MGH_389,11.00
P022,C001,T_MWF_0830_0920,R_MGH_389,11.00
P026,C001,T_MWF_0830_0920,R_MGH_389,12.00
P027,C001,T_MWF_0830_0920,R_MGH_389,13.00
P029,C001,T_MWF_0830_0920,R_MGH_389,13.00
P030,C001,T_MWF_0830_0920,R_MGH_389,12.00
P032,C001,T_MWF_0830_0920,R_MGH_389,14.00
P033,C001,T_MWF_0830_0920,R_MGH_389,12.00
P034,C001,T_MWF_0830_0920,R_MGH_389,11.00
P039,C001,T_MWF_0830_0920,R_MGH_389,16.00
P040,C001,T_MWF_0830_0920,R_MGH_389,13.00
P041,C001,T_MWF_0830_0920,R_MGH_389,12.00
P042,C001,T_MWF_0830_0920,R_MGH_389,11.00
P046,C001,T_MWF_0830_0920,R_MGH_389,14.00
P048,C001,T_MWF_0830_0920,R_MGH_389,14.00
P050,C001,T_MWF_0830_0920,R_MGH_389,16.00
P055,C001,T_MWF_0830_0920,R_MGH_389,14.00
P057,C001,T_MWF_0830_0920,R_MGH_389,16.00
P058,C001,T_MWF_0830_0920,R_MGH_389,16.00
P062,C001,T_MWF_0830_0920,R_MGH_389,16.00
P063,C001,T_MWF_0830_0920,R_MGH_389,14.00
P064,C001,T_MWF_0830_0920,R_MGH_389,15.00
P071,C001,T_MWF_0830_0920,R_MGH_389,16.00
P073,C001,T_MWF_0830_0920,R_MGH_389,10.00
P074,C001,T_MWF_0830_0920,R_MGH_389,13.00
P078,C001,T_MWF_0830_0920,R_MGH_389,14.00
P082,C001,T_MWF_0830_0920,R_MGH_389,13.00
P087,C001,T_MWF_0830_0920,R_MGH_389,11.00
P091,C001,T_MWF_0830_0920,R_MGH_389,12.00
P094,C001,T_MWF_0830_0920,R_MGH_389,14.00
P103,C001,T_MWF_0830_0920,R_MGH_389,11.00
P004,C002,T_MWF_0930_1020,R_MEB_248,15.00
P008,C002,T_MWF_0930_1020,R_MEB_248,12.00
P012,C002,T_MWF_0930_1020,R_MEB_248,11.00
P022,C002,T_MWF_0930_1020,R_MEB_248,10.00
P026,C002,T_MWF_0930_1020,R_MEB_248,12.00
P027,C002,T_MWF_0930_1020,R_MEB_248,15.00
P029,C002,T_MWF_0930_1020,R_MEB_248,13.00
P032,C002,T_MWF_0930_1020,R_MEB_248,14.00
P034,C002,T_MWF_0930_1020,R_MEB_248,12.00
P039,C002,T_MWF_0930_1020,R_MEB_248,15.00
P040,C002,T_MWF_0930_1020,R_MEB_248,13.00
P041,C002,T_MWF_0930_1020,R_MEB_248,12.00
P050,C002,T_MWF_0930_1020,R_MEB_248,15.00
P055,C002,T_MWF_0930_1020,R_MEB_248,13.00
P057,C002,T_MWF_0930_1020,R_MEB_248,15.00
P058,C002,T_MWF_0930_1020,R_MEB_248,15.00
P062,C002,T_MWF_0930_1020,R_MEB_248,15.00
P063,C002,T_MWF_0930_1020,R_MEB_248,12.00
P064,C002,T_MWF_0930_1020,R_MEB_248,15.00
P071,C002,T_MWF_0930_1020,R_MEB_248,14.00
P074,C002,T_MWF_0930_1020,R_MEB_248,12.00
P078,C002,T_MWF_0930_1020,R_MEB_248,14.00
P087,C002,T_MWF_0930_1020,R_MEB_248,12.00
P094,C002,T_MWF_0930_1020,R_MEB_248,14.00
P001,C003,T_MWF_1030_1120,R_GUG_220,18.00
P008,C003,T_MWF_1030_1120,R_GUG_220,18.00
P012,C003,T_MWF_1030_1120,R_GUG_220,17.00
P017,C003,T_MWF_1030_1120,R_GUG_220,18.00
P019,C003,T_MWF_1030_1120,R_GUG_220,18.00
P022,C003,T_MWF_1030_1120,R_GUG_220,17.00
P026,C003,T_MWF_1030_1120,R_GUG_220,17.00
P027,C003,T_MWF_1030_1120,R_GUG_220,18.00
P030,C003,T_MWF_1030_1120,R_GUG_220,18.00
P032,C003,T_MWF_1030_1120,R_GUG_220,18.00
P033,C003,T_MWF_1030_1120,R_GUG_220,18.00
P039,C003,T_MWF_1030_1120,R_GUG_220,18.00
P040,C003,T_MWF_1030_1120,R_GUG_220,18.00
P041,C003,T_MWF_1030_1120,R_GUG_220,19.00
P042,C003,T_MWF_1030_1120,R_GUG_220,18.00
P046,C003,T_MWF_1030_1120,R_GUG_220,18.00
P048,C003,T_MWF_1030_1120,R_GUG_220,17.00
P050,C003,T_MWF_1030_1120,R_GUG_220,19.00
P055,C003,T_MWF_1030_1120,R_GUG_220,19.00
P057,C003,T_MWF_1030_1120,R_GUG_220,18.00
P058,C003,T_MWF_1030_1120,R_GUG_220,18.00
P062,C003,T_MWF_1030_1120,R_GUG_220,19.00
P063,C003,T_MWF_1030_1120,R_GUG_220,17.00
P064,C003,T_MWF_1030_1120,R_GUG_220,19.00
P071,C003,T_MWF_1030_1120,R_GUG_220,19.00
P073,C003,T_MWF_1030_1120,R_GUG_220,17.00
P074,C003,T_MWF_1030_1120,R_GUG_220,17.00
P078,C003,T_MWF_1030_1120,R_GUG_220,17.00
P082,C003,T_MWF_1030_1120,R_GUG_220,17.00
P087,C003,T_MWF_1030_1120,R_GUG_220,18.00
P091,C003,T_MWF_1030_1120,R_GUG_220,17.00
P094,C003,T_MWF_1030_1120,R_GUG_220,17.00
P103,C003,T_MWF_1030_1120,R_GUG_220,17.00
P001,C004,T_TTH_0830_0950,R_GUG_220,17.00
P008,C004,T_TTH_0830_0950,R_GUG_220,16.00
P012,C004,T_TTH_0830_0950,R_GUG_220,16.00
P017,C004,T_TTH_0830_0950,R_GUG_220,16.00
P019,C004,T_TTH_0830_0950,R_GUG_220,16.00
P022,C004,T_TTH_0830_0950,R_GUG_220,16.00
P026,C004,T_TTH_0830_0950,R_GUG_220,16.00
P027,C004,T_TTH_0830_0950,R_GUG_220,17.00
P030,C004,T_TTH_0830_0950,R_GUG_220,17.00
P032,C004,T_TTH_0830_0950,R_GUG_220,18.00
P033,C004,T_TTH_0830_0950,R_GUG_220,18.00
P039,C004,T_TTH_0830_0950,R_GUG_220,19.00
P040,C004,T_TTH_0830_0950,R_GUG_220,16.00
P041,C004,T_TTH_0830_0950,R_GUG_220,16.00
P042,C004,T_TTH_0830_0950,R_GUG_220,16.00
P046,C004,T_TTH_0830_0950,R_GUG_220,17.00
P048,C004,T_TTH_0830_0950,R_GUG_220,17.00
P050,C004,T_TTH_0830_0950,R_GUG_220,19.00
P055,C004,T_TTH_0830_0950,R_GUG_220,18.00
P057,C004,T_TTH_0830_0950,R_GUG_220,19.00
P058,C004,T_TTH_0830_0950,R_GUG_220,19.00
P062,C004,T_TTH_0830_0950,R_GUG_220,18.00
P063,C004,T_TTH_0830_0950,R_GUG_220,16.00
P064,C004,T_TTH_0830_0950,R_GUG_220,18.00
P071,C004,T_TTH_0830_0950,R_GUG_220,19.00
P073,C004,T_TTH_0830_0950,R_GUG_220,16.00
P074,C004,T_TTH_0830_0950,R_GUG_220,17.00
P078,C004,T_TTH_0830_0950,R_GUG_220,17.00
P082,C004,T_TTH_0830_0950,R_GUG_220,17.00
P087,C004,T_TTH_0830_0950,R_GUG_220,15.00
P091,C004,T_TTH_0830_0950,R_GUG_220,15.00
P094,C004,T_TTH_0830_0950,R_GUG_220,18.00
P103,C004,T_TTH_0830_0950,R_GUG_220,16.00
P002,C005,T_MWF_1130_1220,R_OTB_014,14.00
P004,C005,T_MWF_1130_1220,R_OTB_014,12.00
P008,C005,T_MWF_1130_1220,R_OTB_014,14.00
P012,C005,T_MWF_1130_1220,R_OTB_014,12.00
P016,C005,T_MWF_1130_1220,R_OTB_014,14.00
P022,C005,T_MWF_1130_1220,R_OTB_014,13.00
P025,C005,T_MWF_1130_1220,R_OTB_014,12.00
P026,C005,T_MWF_1130_1220,R_OTB_014,14.00
P027,C005,T_MWF_1130_1220,R_OTB_014,14.00
P029,C005,T_MWF_1130_1220,R_OTB_014,14.00
P032,C005,T_MWF_1130_1220,R_OTB_014,14.00
P034,C005,T_MWF_1130_1220,R_OTB_014,13.00
P038,C005,T_MWF_1130_1220,R_OTB_014,13.00
P039,C005,T_MWF_1130_1220,R_OTB_014,15.00
P040,C005,T_MWF_1130_1220,R_OTB_014,15.00
P041,C005,T_MWF_1130_1220,R_OTB_014,15.00
P050,C005,T_MWF_1130_1220,R_OTB_014,14.00
P052,C005,T_MWF_1130_1220,R_OTB_014,14.00
P055,C005,T_MWF_1130_1220,R_OTB_014,15.00
P057,C005,T_MWF_1130_1220,R_OTB_014,15.00
P058,C005,T_MWF_1130_1220,R_OTB_014,14.00
P062,C005,T_MWF_1130_1220,R_OTB_014,14.00
P063,C005,T_MWF_1130_1220,R_OTB_014,14.00
P064,C005,T_MWF_1130_1220,R_OTB_014,15.00
P071,C005,T_MWF_1130_1220,R_OTB_014,15.00
P074,C005,T_MWF_1130_1220,R_OTB_014,13.00
P078,C005,T_MWF_1130_1220,R_OTB_014,13.00
P080,C005,T_MWF_1130_1220,R_OTB_014,14.00
P087,C005,T_MWF_1130_1220,R_OTB_014,12.00
P089,C005,T_MWF_1130_1220,R_OTB_014,14.00
P094,C005,T_MWF_1130_1220,R_OTB_014,12.00
P096,C005,T_MWF_1130_1220,R_OTB_014,12.00
P099,C005,T_MWF_1130_1220,R_OTB_014,14.00
P004,C006,T_TTH_0830_0950,R_GUG_220,17.00
P008,C006,T_TTH_0830_0950,R_GUG_220,16.00
P012,C006,T_TTH_0830_0950,R_GUG_220,16.00
P022,C006,T_TTH_0830_0950,R_GUG_220,16.00
P026,C006,T_TTH_0830_0950,R_GUG_220,16.00
P027,C006,T_TTH_0830_0950,R_GUG_220,17.00
P029,C006,T_TTH_0830_0950,R_GUG_220,15.00
P032,C006,T_TTH_0830_0950,R_GUG_220,18.00
P034,C006,T_TTH_0830_0950,R_GUG_220,15.00
P039,C006,T_TTH_0830_0950,R_GUG_220,20.00
P040,C006,T_TTH_0830_0950,R_GUG_220,17.00
P041,C006,T_TTH_0830_0950,R_GUG_220,17.00
P050,C006,T_TTH_0830_0950,R_GUG_220,20.00
P055,C006,T_TTH_0830_0950,R_GUG_220,19.00
P057,C006,T_TTH_0830_0950,R_GUG_220,20.00
P058,C006,T_TTH_0830_0950,R_GUG_220,20.00
P062,C006,T_TTH_0830_0950,R_GUG_220,19.00
P063,C006,T_TTH_0830_0950,R_GUG_220,17.00
P064,C006,T_TTH_0830_0950,R_GUG_220,19.00
P071,C006,T_TTH_0830_0950,R_GUG_220,20.00
P074,C006,T_TTH_0830_0950,R_GUG_220,18.00
P078,C006,T_TTH_0830_0950,R_GUG_220,17.00
P087,C006,T_TTH_0830_0950,R_GUG_220,15.00
P094,C006,T_TTH_0830_0950,R_GUG_220,18.00
P004,C007,T_MWF_1230_1320,R_GUG_220,17.00
P008,C007,T_MWF_1230_1320,R_GUG_220,18.00
P012,C007,T_MWF_1230_1320,R_GUG_220,17.00
P022,C007,T_MWF_1230_1320,R_GUG_220,17.00
P026,C007,T_MWF_1230_1320,R_GUG_220,17.00
P027,C007,T_MWF_1230_1320,R_GUG_220,17.00
P029,C007,T_MWF_1230_1320,R_GUG_220,18.00
P032,C007,T_MWF_1230_1320,R_GUG_220,16.00
P034,C007,T_MWF_1230_1320,R_GUG_220,17.00
P039,C007,T_MWF_1230_1320,R_GUG_220,18.00
P040,C007,T_MWF_1230_1320,R_GUG_220,20.00
P041,C007,T_MWF_1230_1320,R_GUG_220,19.00
P050,C007,T_MWF_1230_1320,R_GUG_220,19.00
P055,C007,T_MWF_1230_1320,R_GUG_220,20.00
P057,C007,T_MWF_1230_1320,R_GUG_220,18.00
P058,C007,T_MWF_1230_1320,R_GUG_220,19.00
P062,C007,T_MWF_1230_1320,R_GUG_220,20.00
P063,C007,T_MWF_1230_1320,R_GUG_220,19.00
P064,C007,T_MWF_1230_1320,R_GUG_220,20.00
P071,C007,T_MWF_1230_1320,R_GUG_220,19.00
P074,C007,T_MWF_1230_1320,R_GUG_220,19.00
P078,C007,T_MWF_1230_1320,R_GUG_220,18.00
P087,C007,T_MWF_1230_1320,R_GUG_220,17.00
P094,C007,T_MWF_1230_1320,R_GUG_220,18.00
P004,C008,T_TTH_1600_1720,R_SMI_120,14.00
P008,C008,T_TTH_1600_1720,R_SMI_120,17.00
P012,C008,T_TTH_1600_1720,R_SMI_120,16.00
P022,C008,T_TTH_1600_1720,R_SMI_120,15.00
P026,C008,T_TTH_1600_1720,R_SMI_120,16.00
P027,C008,T_TTH_1600_1720,R_SMI_120,14.00
P029,C008,T_TTH_1600_1720,R_SMI_120,15.00
P032,C008,T_TTH_1600_1720,R_SMI_120,14.00
P034,C008,T_TTH_1600_1720,R_SMI_120,16.00
