professor_id,professor_name,min_load,max_load,department,seniority,research_tags,priority_mode
P001,Jarod Alper,0,2,MATH,professor,algebra;algebraic_geometry;geometry,time_first
P002,Aleksandr Aravkin,0,1,MATH,adjunct,optimization;applied_math,interest_first
P003,Jayadev Athreya,0,2,MATH,professor,dynamical_systems;geometry,time_first
P004,Ebru Bekyel,0,3,MATH,teaching,number_theory;analysis;calculus,interest_first
P005,Sara Billey,0,2,MATH,professor,combinatorics;algebraic_geometry;representation_theory,time_first
P006,Kenneth Bube,0,2,MATH,professor,numerical_analysis;pde,time_first
P007,Krzysztof Burdzy,0,2,MATH,professor,probability,time_first
P008,Charles Camacho,0,3,MATH,teaching,calculus;combinatorics;education;geometry,time_first
P009,Zhenqing Chen,0,2,MATH,professor,probability,interest_first
P010,Tony Chiang,0,1,MATH,affiliate,applied_math;combinatorics;data_science;probability;statistics,time_first
P011,David Collingwood,0,2,MATH,professor,representation_theory;genomics,interest_first
P012,Matthew Conroy,0,3,MATH,teaching,number_theory;education;general_math,time_first
P013,Bernard Deconinck,0,1,MATH,adjunct,applied_math;pde,time_first
P014,Fanny Dos Reis,0,2,MATH,lecturer,differential_geometry;geometric_measure_theory,time_first
P015,Alexis Drouot,0,2,MATH,professor,analysis;pde,time_first
P016,Maryam Fazel,0,1,MATH,adjunct,optimization,time_first
P017,Giovanni Inchiostro,0,2,MATH,professor,algebra;algebraic_geometry;combinatorics;geometry,interest_first
P018,Neal Koblitz,0,2,MATH,professor,cryptography;number_theory,interest_first
P019,Sandor Kovacs,0,2,MATH,professor,algebra;algebraic_geometry,time_first
P020,Gaku Liu,0,2,MATH,professor,combinatorics;geometry,time_first
P021,Ricky Liu,0,2,MATH,professor,algebraic_combinatorics;combinatorics,interest_first
P022,Andrew Loveless,0,3,MATH,teaching,education;number_theory;calculus,interest_first
P023,Max Lieblich,0,1,MATH,professor,algebraic_geometry,interest_first
P024,Monty McGovern,0,2,MATH,professor,representation_theory,interest_first
P025,Dan Mikulincer,0,2,MATH,professor,data_science;optimization;probability;theoretical_computer_science,interest_first
P026,Natalie Naehrig,0,3,MATH,teaching,algebra;education;representation_theory;calculus,interest_first
P027,Alexandra Nichifor,0,3,MATH,teaching,algebra;number_theory;calculus,interest_first
P028,Isabella Novik,0,2,MATH,professor,combinatorics;algebraic_combinatorics;geometric_combinatorics,interest_first
P029,Jonah Ostroff,0,3,MATH,teaching,combinatorics;calculus,interest_first
P030,John Palmieri,0,2,MATH,professor,algebra;algebraic_topology;representation_theory,interest_first
P031,Gabriel Paternain,0,2,MATH,professor,differential_geometry;dynamical_systems;inverse_problems,interest_first
P032,Patrick Perkins,0,3,MATH,teaching,algebra;combinatorics;education,interest_first
P033,Julia Pevtsova,0,2,MATH,professor,algebra;representation_theory;noncommutative_algebra,time_first
P034,Elena Pezzoli,0,3,MATH,teaching,logic;computer_science;calculus,interest_first
P035,Daniel Pollack,0,1,MATH,professor,differential_geometry;general_relativity;pde,interest_first
P036,Piotr Pstragowski,0,2,MATH,professor,algebraic_topology,time_first
P037,Steffen Rohde,0,2,MATH,professor,complex_analysis;numerical_analysis;probability,time_first
P038,François Clément,0,1,MATH,postdoctoral,optimization,time_first
P039,David Aldous,0,1,MATH,affiliate,general_math;service;algebra;calculus;precalculus;education,interest_first
P040,Christian Gorski,0,1,MATH,postdoctoral,general_math;service;algebra;calculus;precalculus;education,time_first
P041,Elena Hafner,0,1,MATH,postdoctoral,general_math;service;algebra;calculus;precalculus;education,interest_first
